,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G35890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G35895,0,0,0,0,0,0,0,0,0,0,0,0
AT1G35910,9,15,14,34,17,12,9,0,11,9,3,17
AT1G36000,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36005,0,0,0,2,0,1,0,1,0,0,0,0
AT1G36020,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36030,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36050,536,953,897,1937,1002,838,509,835,470,546,696,734
AT1G36060,30,52,71,220,29,23,14,74,38,94,65,29
AT1G36070,103,280,309,681,299,244,158,505,247,328,256,225
AT1G36078,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36085,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36095,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36100,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36150,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36160,2145,4095,3326,11775,3966,3508,1797,4572,3347,3535,3691,1580
AT1G36180,102,165,117,383,220,245,94,124,175,179,204,86
AT1G36230,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36240,0,1,0,2,0,0,0,0,1,0,1,0
AT1G36272,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36280,54,146,116,340,202,160,99,31,76,88,92,171
AT1G36310,167,365,328,881,539,498,328,218,266,261,355,569
AT1G36320,597,1226,1095,2689,1996,1577,979,785,677,835,991,1201
AT1G36325,0,0,0,0,0,0,0,0,1,0,0,0
AT1G36340,0,0,1,0,0,0,0,0,0,0,0,0
AT1G36350,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36370,217,471,404,1015,980,660,457,210,229,262,337,269
AT1G36380,14,94,87,142,97,71,54,81,65,78,40,67
AT1G36390,153,225,244,725,626,521,353,95,189,141,186,230
AT1G36510,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36580,0,1,2,5,3,2,2,1,2,6,2,5
AT1G36622,44,80,128,142,13,18,24,11,10,18,9,35
AT1G36623,1,0,0,0,0,0,0,0,0,0,0,0
AT1G36627,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36640,2,5,8,4,1,1,0,1,1,0,2,3
AT1G36675,2,1,2,2,3,1,0,0,0,0,0,0
AT1G36730,1629,2493,2442,6125,2690,2377,1364,2057,1593,1826,2527,3352
AT1G36745,0,0,0,0,0,0,0,0,0,0,0,0
AT1G36756,0,0,0,0,0,0,0,0,0,0,0,0
