,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G01010,89,138,134,207,48,63,26,41,35,38,64,43
AT1G01020,89,129,180,553,232,205,106,89,124,108,112,134
AT1G01030,57,87,74,224,98,87,65,65,33,38,43,72
AT1G01040,602,913,785,2305,1013,835,501,512,625,828,849,563
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,156,511,554,1957,838,575,410,441,331,359,173,614
AT1G01060,3583,7926,7633,14493,520,372,289,1044,904,1118,853,7253
AT1G01070,18,99,81,209,77,82,51,25,36,45,34,107
AT1G01080,561,950,893,2490,2137,1705,1078,480,594,635,632,1103
AT1G01090,973,2857,2863,7585,6035,4999,3012,4610,2774,3358,3420,2875
AT1G01100,476,2071,2427,5363,4509,3092,2124,1550,1760,1839,1019,2963
AT1G01110,65,171,182,482,73,64,40,166,160,151,116,153
AT1G01120,416,1793,1489,3112,1945,1581,1122,1011,946,1167,1916,2331
AT1G01130,18,31,38,66,55,52,22,20,27,35,38,53
AT1G01140,1291,1816,2113,3662,1827,1679,959,1244,699,790,1506,1590
AT1G01150,0,2,3,2,5,5,0,1,4,1,1,1
AT1G01160,185,412,378,588,417,374,217,336,268,318,270,269
AT1G01170,104,418,502,823,697,469,412,573,313,400,292,339
AT1G01180,104,322,327,742,260,249,134,354,103,177,194,228
AT1G01183,0,0,0,1,0,0,0,0,0,0,0,0
AT1G01190,12,46,23,90,157,130,80,5,14,18,10,78
AT1G01200,4,11,13,46,18,10,7,7,9,11,11,18
AT1G01210,49,62,80,270,108,84,49,36,50,72,66,138
AT1G01220,199,368,381,1147,624,606,346,314,344,373,442,354
AT1G01225,14,30,31,116,40,38,23,23,40,35,37,28
AT1G01230,142,400,422,915,612,445,301,369,325,404,425,324
AT1G01240,581,806,694,1578,915,742,496,1024,844,914,2143,395
AT1G01250,6,39,29,82,17,12,5,16,41,42,133,26
AT1G01260,353,660,718,1744,460,371,240,436,425,492,574,705
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,115,189,204,384,258,237,163,88,129,141,163,232
AT1G01300,211,953,721,2325,3339,2963,1590,1000,959,1050,584,1420
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,1,0,2,2,1,0,1,0,1,0,2,4
AT1G01320,4089,6729,5722,15987,8755,7392,4173,4510,4284,4352,4248,4902
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,221,453,597,793,125,107,60,129,85,94,112,210
AT1G01350,300,367,393,791,522,454,311,357,249,248,368,380
AT1G01355,0,4,4,9,3,1,5,3,4,2,5,5
AT1G01360,143,229,237,727,262,214,118,133,153,153,329,243
AT1G01370,23,30,37,79,128,76,51,17,47,41,26,29
AT1G01380,5,9,5,26,21,11,8,7,8,10,15,16
AT1G01390,58,206,112,347,106,72,36,7,185,146,227,216
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,96,265,191,568,158,149,93,129,137,170,214,422
AT1G01430,273,1119,930,2936,1855,1491,938,722,641,755,790,1038
AT1G01440,232,439,399,932,678,536,367,340,316,333,411,244
AT1G01448,52,145,126,346,205,132,91,198,102,101,66,83
AT1G01450,25,17,11,25,16,8,3,19,6,7,12,1
AT1G01453,1,2,0,3,0,0,0,1,3,1,1,2
AT1G01460,0,0,0,0,0,1,0,0,0,0,0,0
AT1G01470,321,967,980,1820,1437,1309,777,3073,2670,2988,4539,1384
AT1G01480,25,17,36,55,17,10,5,89,4,9,15,20
AT1G01490,3621,2695,2871,5349,1750,1342,988,1549,885,1057,3213,1804
AT1G01500,140,183,157,583,554,494,265,386,258,276,356,248
AT1G01510,360,681,601,1885,1325,1155,656,842,631,679,647,493
AT1G01520,36,115,155,289,4,7,4,10,3,7,13,269
AT1G01530,0,1,1,2,1,0,0,0,0,1,1,0
AT1G01540,994,1399,1449,3305,2659,2026,1213,1132,665,805,1121,1380
AT1G01550,537,2880,2554,6353,3374,2507,1634,2393,1740,1956,1352,2589
AT1G01560,122,200,241,285,43,31,27,46,24,25,40,39
AT1G01570,10,21,17,58,69,66,30,33,38,29,39,15
AT1G01580,20,59,34,202,81,77,42,20,62,51,78,63
AT1G01590,2,6,2,8,1,2,1,1,1,2,4,4
AT1G01600,16,85,73,322,255,238,118,15,58,68,82,97
AT1G01610,247,757,665,2298,1872,1672,893,764,497,607,651,821
AT1G01620,1523,7971,6192,18133,11474,9802,6009,11944,4400,5657,4635,6622
AT1G01630,368,757,684,1471,1512,1128,801,358,413,425,757,743
AT1G01640,7,23,40,59,33,26,11,37,25,51,16,20
AT1G01650,381,823,817,2357,857,719,394,1044,694,779,1063,453
AT1G01660,21,13,12,28,17,8,5,6,10,3,32,17
AT1G01670,34,12,21,50,32,27,19,11,16,19,45,15
AT1G01680,127,138,321,186,20,17,10,13,14,7,37,34
AT1G01690,39,53,68,144,122,110,56,18,49,59,54,45
AT1G01695,1,5,9,7,10,3,3,0,3,2,3,1
AT1G01700,29,54,35,127,64,33,32,48,36,39,34,35
AT1G01710,190,488,540,1204,756,593,393,617,412,462,423,388
AT1G01715,11,36,42,105,68,41,44,26,21,37,37,43
AT1G01720,283,641,726,1802,663,636,344,1074,343,393,452,673
AT1G01725,58,52,83,141,79,62,41,53,64,41,71,55
AT1G01730,67,275,310,855,330,300,174,316,250,225,184,306
AT1G01740,33,109,92,291,81,79,44,44,55,58,46,121
AT1G01750,15,0,2,5,2,4,1,1,5,7,4,1
AT1G01760,9,43,47,138,68,51,27,37,36,39,33,16
AT1G01770,213,356,395,1049,481,476,252,945,270,318,290,136
AT1G01780,23,125,177,304,195,150,111,178,90,135,83,100
AT1G01790,1437,3600,2799,10339,4034,3873,2062,1283,1907,1833,1971,2523
AT1G01800,294,781,863,2258,1131,840,517,696,461,582,768,779
AT1G01810,2,9,8,7,10,11,5,3,2,7,6,18
AT1G01820,329,630,835,1674,994,823,500,803,691,769,1049,658
AT1G01830,260,438,411,784,483,416,278,253,290,360,636,501
AT1G01840,8,0,1,7,3,6,2,0,0,1,2,0
AT1G01860,19,115,95,326,176,157,113,86,88,72,56,108
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,19,26,23,109,54,52,27,23,19,33,18,26
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,20,82,38,232,107,91,52,29,65,55,51,35
AT1G01910,221,574,544,1630,1127,842,514,563,480,512,518,629
AT1G01920,76,287,285,639,371,270,169,211,207,239,224,183
AT1G01930,157,239,268,591,417,393,259,270,199,207,254,276
AT1G01940,65,177,207,310,250,184,144,108,153,166,123,218
AT1G01950,291,453,362,1051,664,524,316,262,274,348,481,355
AT1G01960,741,1637,1448,5050,2823,2639,1309,1980,1380,1510,1067,867
AT1G01970,218,426,345,1017,648,541,332,257,298,301,339,655
AT1G01980,0,0,1,0,0,0,0,0,2,1,2,2
AT1G01990,193,410,381,954,459,376,210,357,238,317,234,515
AT1G02000,122,287,247,548,273,236,144,214,120,134,174,250
AT1G02010,127,203,205,511,218,179,136,158,196,216,162,150
AT1G02020,100,314,275,708,423,393,241,291,269,266,192,240
AT1G02030,7,2,2,12,2,7,0,1,4,5,6,4
AT1G02040,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02050,49,101,145,286,135,88,63,115,91,113,103,118
AT1G02060,69,174,145,403,120,120,56,197,155,144,88,105
AT1G02065,41,50,67,135,70,50,29,71,35,43,39,29
AT1G02067,1,0,0,2,0,1,0,0,0,0,0,0
AT1G02070,9,9,13,11,5,6,1,11,8,11,14,9
AT1G02080,881,2867,2235,7381,2816,2738,1293,2922,2443,2428,1292,962
AT1G02090,252,342,373,942,606,521,313,264,324,331,325,457
AT1G02100,377,657,694,1484,858,628,370,598,434,566,650,600
AT1G02110,263,616,596,1521,863,890,475,890,493,550,463,484
AT1G02120,1474,1534,1648,4277,1477,1333,725,1260,831,1212,1963,1172
AT1G02130,189,632,622,1444,1067,863,562,555,554,592,535,737
AT1G02140,316,911,992,1936,1675,1217,815,625,549,685,811,1237
AT1G02145,72,307,299,668,461,358,223,292,236,241,216,258
AT1G02150,664,1332,1285,3970,3790,3149,1931,1519,1250,1347,1080,1607
AT1G02160,130,174,233,383,333,284,179,149,149,184,442,218
AT1G02170,310,711,746,1568,1046,953,547,732,296,360,362,429
AT1G02180,27,44,45,132,115,90,69,48,40,44,33,45
AT1G02190,0,4,2,16,23,17,7,2,3,5,7,1
AT1G02205,111,371,426,1244,1927,1664,956,451,494,663,588,393
AT1G02210,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02220,51,38,86,98,30,41,26,38,16,20,19,49
AT1G02230,25,49,40,51,9,15,4,5,5,2,8,33
AT1G02250,3,1,2,0,0,0,1,0,0,1,0,1
AT1G02260,88,195,186,546,339,287,152,206,137,157,126,135
AT1G02270,510,402,516,770,772,670,424,263,308,341,637,440
AT1G02280,622,1030,1103,3017,2217,1734,1116,1204,819,889,968,1434
AT1G02290,61,172,153,394,221,163,92,135,128,150,128,194
AT1G02300,99,147,167,525,636,529,291,202,270,368,556,118
AT1G02305,481,1044,1110,2672,1595,1337,865,1543,835,1036,1340,1002
AT1G02310,1,2,1,9,0,5,0,0,1,3,3,1
AT1G02320,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02330,433,499,538,1071,556,425,318,354,338,397,620,492
AT1G02335,31,240,160,512,247,151,114,132,191,82,101,52
AT1G02340,622,1477,867,4051,165,154,80,427,792,1029,2046,663
AT1G02350,49,235,215,633,95,69,47,69,163,164,201,225
AT1G02360,130,420,456,741,159,143,81,123,75,86,103,223
AT1G02370,48,141,100,307,127,92,78,46,107,132,101,186
AT1G02380,22,89,80,169,91,74,66,54,45,46,65,62
AT1G02390,46,75,98,182,70,65,31,51,27,25,79,159
AT1G02400,135,322,324,805,67,74,16,322,273,264,470,187
AT1G02405,7,10,10,13,3,4,4,3,4,5,8,8
AT1G02410,175,402,423,981,550,488,316,319,258,292,217,325
AT1G02420,0,15,16,35,12,9,8,20,10,13,10,9
AT1G02430,6,2,4,16,2,4,2,1,2,0,1,8
AT1G02440,2,6,9,8,1,1,1,0,1,4,2,7
AT1G02450,24,32,34,24,4,5,3,0,6,5,20,5
AT1G02460,12,17,16,64,57,37,18,22,21,21,14,49
AT1G02470,2,38,23,90,14,14,7,8,19,28,41,12
AT1G02475,245,1129,1099,2272,961,747,603,433,635,568,613,913
AT1G02480,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02490,1,0,0,4,3,2,2,0,3,0,2,2
AT1G02500,1734,6305,6212,14149,8276,6570,3977,3814,3512,4315,2903,5525
AT1G02510,0,1,0,0,0,0,0,0,0,0,1,0
AT1G02520,7,25,12,91,27,36,22,14,16,16,4,11
AT1G02530,4,6,1,14,4,2,0,2,1,4,1,2
AT1G02540,0,0,1,0,0,0,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02560,849,4323,3673,9259,7696,6187,3888,3181,3190,3223,2661,3580
AT1G02570,0,0,0,1,0,0,0,0,1,0,0,0
AT1G02575,0,0,0,3,0,0,0,0,0,0,0,0
AT1G02580,0,6,7,12,2,1,3,1,0,1,4,2
AT1G02590,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02610,198,327,302,838,570,417,306,329,222,296,420,44
AT1G02620,57,80,62,126,109,96,57,254,105,111,121,26
AT1G02630,7,15,25,47,24,33,13,16,17,19,4,6
AT1G02640,674,2654,2003,9643,5288,4792,2220,2988,1434,1479,998,882
AT1G02650,29,54,38,136,129,101,66,50,17,29,30,22
AT1G02660,1091,1839,1490,5038,2975,2204,1458,2957,1587,1983,2816,281
AT1G02670,19,41,46,134,132,91,63,88,39,65,53,23
AT1G02680,116,157,198,307,221,138,112,173,113,155,172,141
AT1G02690,59,177,168,460,405,340,206,149,155,184,81,151
AT1G02700,8,12,10,27,24,20,13,12,1,3,5,31
AT1G02705,2,7,2,11,17,11,7,3,3,4,2,20
AT1G02710,10,1,0,1,4,2,1,0,0,0,3,0
AT1G02720,72,135,118,364,421,388,208,95,141,125,115,177
AT1G02730,225,539,446,1413,1266,1334,630,231,435,373,215,473
AT1G02740,63,134,145,242,229,216,105,91,98,100,171,146
AT1G02750,87,205,182,393,198,136,97,201,100,111,150,149
AT1G02760,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02770,1,3,1,16,12,13,5,1,5,5,10,8
AT1G02780,2313,6718,6449,17248,12263,9581,6115,4591,5365,5838,5210,8605
AT1G02790,0,0,0,1,0,0,0,0,0,0,0,0
AT1G02800,6,46,33,122,140,129,64,8,48,36,7,44
AT1G02810,1,5,7,32,8,8,4,2,7,8,1,10
AT1G02813,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02816,72,368,398,899,286,198,142,529,170,174,248,212
AT1G02820,47,180,100,395,23,21,22,19,20,27,30,159
AT1G02830,0,0,0,0,0,0,0,0,0,0,0,2
AT1G02840,1168,1718,1917,4792,2382,2130,1234,2590,1539,1980,2037,1706
AT1G02850,113,332,429,1027,278,229,101,215,75,93,177,124
AT1G02860,65,176,157,516,425,344,236,329,131,168,220,207
AT1G02870,69,218,257,483,263,212,136,143,235,242,190,275
AT1G02880,116,246,311,613,265,164,147,131,162,114,117,255
AT1G02890,1014,2135,1885,5196,2295,2210,1103,1777,1192,1405,1613,1675
AT1G02900,42,68,45,156,120,106,76,34,38,48,30,130
AT1G02910,384,748,705,2142,1185,990,662,360,395,435,539,650
AT1G02920,874,2809,4865,3861,1277,1184,946,1501,762,955,967,1099
AT1G02930,1707,5962,8926,8584,3052,2208,1819,2297,1379,2024,2963,1926
AT1G02940,6,10,8,5,12,10,4,3,0,1,2,4
AT1G02950,5,16,7,38,28,10,8,14,19,22,31,29
AT1G02952,14,3,0,3,1,1,1,0,2,0,2,0
AT1G02960,153,244,287,643,375,344,203,235,187,214,354,223
AT1G02965,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02970,6,13,14,68,52,66,45,6,11,15,15,9
AT1G02980,0,0,0,0,0,1,0,0,0,0,0,1
AT1G02990,472,639,566,1264,510,449,235,451,464,488,620,376
AT1G03000,254,465,406,1418,766,601,377,382,467,515,512,276
AT1G03010,15,76,58,205,9,5,4,9,32,47,25,19
AT1G03020,4,9,7,14,0,0,1,5,3,9,3,3
AT1G03030,129,316,301,586,385,363,258,192,163,207,237,237
AT1G03040,251,655,627,1694,908,713,451,346,397,356,339,652
AT1G03050,8,1,2,6,2,1,4,0,1,2,0,0
AT1G03055,26,53,71,143,80,52,29,3,13,14,21,29
AT1G03060,1128,1874,1691,4282,1447,1359,716,2249,1260,1354,895,698
AT1G03070,2,12,2,29,11,17,6,2,10,10,7,7
AT1G03080,1693,1980,1953,4445,1882,1872,1105,3582,1271,1616,2609,1245
AT1G03090,2022,3160,3521,9411,2278,2195,1248,25455,2566,3471,2604,480
AT1G03100,15,14,15,37,25,21,8,27,3,14,32,19
AT1G03103,0,0,0,0,0,0,0,1,0,0,0,0
AT1G03106,0,3,0,4,1,0,1,1,1,1,0,42
AT1G03110,36,114,93,400,212,177,104,34,106,106,74,171
AT1G03120,9,4,16,29,14,11,3,13,6,1,12,5
AT1G03130,21066,21838,21048,41989,47654,42625,25877,14527,18835,20168,42650,17032
AT1G03140,883,1057,1088,2645,1439,1256,753,1832,793,978,1280,904
AT1G03150,146,202,243,621,355,247,169,260,190,194,296,168
AT1G03160,375,819,785,2324,1740,1629,1006,792,827,941,882,688
AT1G03165,2,1,1,3,2,2,2,4,0,1,1,4
AT1G03170,15,24,16,47,7,9,5,13,2,9,5,46
AT1G03180,8,20,37,60,70,60,36,12,22,24,19,18
AT1G03190,70,169,154,390,228,195,97,134,106,144,156,145
AT1G03200,5,35,26,86,30,17,12,29,18,14,1,45
AT1G03210,86,199,266,574,195,135,104,188,164,174,149,159
AT1G03220,580,1608,1955,5313,2691,2402,1538,2961,693,872,725,1155
AT1G03230,182,496,514,1672,801,757,473,465,308,344,305,305
AT1G03240,3,5,3,13,2,6,1,4,5,1,1,3
AT1G03250,154,362,388,791,532,435,241,303,276,260,463,448
AT1G03260,37,109,142,362,290,191,121,110,90,112,101,111
AT1G03270,26,52,50,169,100,67,53,32,49,40,52,36
AT1G03280,602,683,636,1574,871,728,486,575,507,533,943,697
AT1G03290,523,773,832,1604,701,583,405,865,366,376,691,527
AT1G03300,1,4,3,3,4,0,1,2,1,2,0,3
AT1G03310,146,443,387,1173,1097,886,482,218,443,425,493,529
AT1G03320,5,6,3,8,5,4,3,0,5,2,3,9
AT1G03325,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03330,205,368,401,598,514,418,280,305,256,327,341,382
AT1G03340,22,39,25,62,50,39,38,11,37,38,48,28
AT1G03350,542,747,765,1663,1143,969,536,641,506,531,858,894
AT1G03360,35,138,86,325,180,160,88,63,120,99,75,208
AT1G03365,328,395,371,836,479,398,235,383,324,367,527,305
AT1G03370,720,1113,1171,2617,1374,1048,686,741,395,478,660,685
AT1G03380,646,1241,1114,2864,891,748,453,1493,921,1049,1222,682
AT1G03390,0,0,0,0,0,0,0,0,0,0,0,1
AT1G03395,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03400,305,989,932,2021,956,729,530,666,340,384,413,499
AT1G03410,65,91,89,154,71,56,35,37,36,64,80,135
AT1G03430,252,404,425,692,381,311,217,202,229,288,449,320
AT1G03440,155,380,299,833,353,290,172,372,234,220,262,544
AT1G03445,2,4,4,1,5,0,1,2,0,1,2,4
AT1G03457,86,134,128,333,437,354,227,214,116,154,101,180
AT1G03470,45,32,34,99,133,108,72,57,50,47,67,29
AT1G03475,1320,2428,2227,5683,6347,5416,3317,1458,1635,1681,1931,2675
AT1G03490,0,0,1,4,1,0,0,0,1,1,4,0
AT1G03495,88,93,106,213,120,93,67,32,25,30,46,145
AT1G03502,1,8,9,7,6,3,3,12,2,4,3,14
AT1G03506,1,4,2,5,2,1,0,0,1,3,3,3
AT1G03510,13,16,16,39,23,23,16,10,13,21,24,19
AT1G03515,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03520,85,296,309,887,293,229,150,387,253,277,218,133
AT1G03530,271,239,220,569,330,270,157,164,241,207,322,292
AT1G03540,18,27,20,62,41,41,14,17,25,32,22,22
AT1G03545,48,28,24,54,23,5,12,29,18,27,35,19
AT1G03550,25,30,39,79,41,29,18,50,47,42,40,48
AT1G03560,226,195,145,389,421,362,206,122,109,149,259,212
AT1G03570,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03590,515,745,667,1921,905,799,433,847,367,431,658,542
AT1G03600,2391,3769,3725,14810,12518,10709,6157,5706,3622,4175,5587,5022
AT1G03610,527,1221,1140,3914,1372,1085,663,2670,1156,1522,1126,688
AT1G03620,22,33,44,90,55,56,52,50,31,75,37,22
AT1G03630,585,1757,1545,4236,6668,5594,3673,342,1476,1249,1507,1997
AT1G03640,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03650,12,36,42,77,33,38,16,27,22,31,17,27
AT1G03660,1,11,16,30,11,8,9,7,7,7,4,8
AT1G03670,0,1,0,1,1,2,0,2,0,1,0,0
AT1G03680,938,3041,2816,8773,7550,5638,3717,2680,2754,2763,2720,3683
AT1G03687,55,126,116,431,343,308,163,102,105,120,119,188
AT1G03700,0,1,1,0,0,2,0,0,0,1,1,1
AT1G03710,0,4,4,9,5,7,2,0,1,1,3,4
AT1G03720,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03730,164,137,161,268,223,216,103,71,82,93,159,117
AT1G03740,1247,1671,1606,3270,1473,1315,822,1211,676,745,1076,806
AT1G03743,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03746,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03750,106,134,123,332,139,107,85,150,101,120,144,88
AT1G03760,56,99,107,304,146,146,73,99,75,77,101,91
AT1G03770,153,130,112,289,151,128,70,104,75,98,98,100
AT1G03780,88,137,164,462,446,398,249,85,181,169,79,76
AT1G03790,0,0,0,4,2,4,0,3,0,0,0,2
AT1G03800,50,49,54,157,40,40,27,66,28,27,27,20
AT1G03810,0,0,0,0,0,0,1,0,0,0,0,0
AT1G03820,43,92,53,129,55,97,44,6,48,76,118,54
AT1G03830,93,151,122,403,371,298,178,82,186,162,213,156
AT1G03840,1,8,6,13,13,11,6,5,2,4,3,12
AT1G03850,105,160,275,325,376,334,171,159,60,70,82,60
AT1G03860,167,707,665,1612,1176,871,625,378,447,466,308,736
AT1G03870,818,3713,2892,10472,6079,3795,2933,2097,1423,1898,1123,3728
AT1G03880,0,0,1,0,0,0,0,0,0,0,0,4
AT1G03890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03900,778,1225,1403,2521,1817,1475,893,1267,724,922,1137,1546
AT1G03905,17,52,69,98,57,52,28,26,19,20,24,38
AT1G03910,734,953,899,1937,1268,1261,765,1462,832,902,1122,859
AT1G03920,14,12,16,62,35,21,15,6,21,17,10,6
AT1G03930,401,791,748,1717,781,665,435,599,695,718,973,985
AT1G03935,6,4,8,21,6,7,1,6,7,6,10,14
AT1G03940,65,83,95,191,100,74,50,27,20,32,42,144
AT1G03950,139,172,192,350,205,163,100,137,116,129,202,128
AT1G03960,78,122,145,345,254,243,151,142,218,225,209,105
AT1G03970,246,182,215,415,477,352,232,221,134,184,444,216
AT1G03980,0,2,7,13,4,2,7,0,3,2,1,3
AT1G03982,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03987,2,4,1,10,3,1,2,2,0,0,0,1
AT1G03990,59,95,133,184,77,78,43,110,72,84,44,76
AT1G03993,45,4,3,3,0,1,1,1,1,2,7,0
AT1G03997,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04000,70,225,231,553,228,187,131,118,134,170,114,268
AT1G04003,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04007,61,3,5,2,1,0,0,0,4,1,12,1
AT1G04010,77,142,166,330,223,178,98,88,114,120,113,116
AT1G04013,9,1,3,7,2,0,2,2,0,0,3,1
AT1G04017,13,0,2,1,1,0,0,0,0,0,2,0
AT1G04020,24,68,71,190,180,170,92,25,87,64,60,64
AT1G04023,3,0,0,0,1,0,0,0,0,0,1,0
AT1G04027,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04030,152,34,56,111,104,94,45,37,46,50,76,33
AT1G04033,0,0,0,1,0,0,0,0,0,0,0,0
AT1G04037,5,8,4,11,6,3,1,2,6,7,7,8
AT1G04040,100,586,501,1040,1237,1005,723,239,262,357,372,780
AT1G04043,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04047,10,1,1,15,12,3,0,3,1,1,3,0
AT1G04050,18,38,40,148,70,77,37,14,26,40,53,46
AT1G04053,0,1,0,5,0,0,0,2,2,1,0,3
AT1G04057,2,0,1,1,0,0,0,0,0,0,0,0
AT1G04063,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04067,1,0,0,0,1,0,1,0,0,0,0,0
AT1G04070,8,69,66,142,83,79,33,31,28,36,18,117
AT1G04073,1,2,2,0,1,1,0,0,1,1,2,1
AT1G04077,2,1,0,1,3,1,0,1,0,1,6,1
AT1G04080,826,1727,1627,3896,2511,2034,1236,1616,1491,1431,1296,1224
AT1G04083,23,2,4,6,2,2,0,2,3,1,6,1
AT1G04087,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04090,2,11,10,24,17,12,11,4,7,8,11,17
AT1G04093,0,1,0,0,4,0,1,0,0,1,1,1
AT1G04097,16,0,1,7,0,3,1,0,1,2,6,2
AT1G04100,47,61,68,164,54,45,33,38,38,25,47,54
AT1G04103,2,1,0,0,0,1,0,1,0,0,0,0
AT1G04105,0,5,5,8,4,4,2,1,2,2,1,2
AT1G04110,28,110,99,414,325,232,136,132,142,102,132,124
AT1G04117,9,0,0,2,1,1,0,1,0,1,3,1
AT1G04120,505,1271,1265,3740,1537,1376,719,817,640,798,602,1029
AT1G04123,2,0,0,0,0,0,0,0,0,0,0,0
AT1G04127,0,1,1,0,0,3,0,0,0,0,0,1
AT1G04130,49,93,90,226,114,128,87,56,67,73,78,94
AT1G04133,4,1,2,2,0,2,1,7,3,3,4,0
AT1G04137,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04140,537,1719,1502,4537,2078,1820,955,2135,1204,1501,855,1238
AT1G04143,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04147,2,0,0,1,0,1,2,2,1,1,0,0
AT1G04150,0,3,0,1,6,9,6,6,4,3,1,3
AT1G04153,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04157,22,2,4,7,2,0,1,17,2,2,2,0
AT1G04160,63,142,135,448,437,399,206,40,121,134,140,76
AT1G04163,4,0,0,0,0,0,0,0,0,1,1,0
AT1G04167,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04170,407,1232,1183,3262,2060,1653,1016,824,933,1000,801,1453
AT1G04173,1,0,0,1,2,0,0,1,0,0,0,0
AT1G04177,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04180,38,115,81,279,48,51,16,49,110,113,188,258
AT1G04183,68,24,21,19,23,15,13,17,8,16,12,39
AT1G04187,5,6,9,26,6,4,2,1,0,5,0,20
AT1G04190,127,361,344,715,591,415,288,189,246,241,262,482
AT1G04193,2,4,1,8,0,1,0,2,0,0,5,5
AT1G04197,6,9,11,27,8,10,4,21,9,5,12,23
AT1G04200,176,495,449,1155,1064,878,576,307,353,417,320,290
AT1G04203,1,1,0,0,0,1,1,0,0,0,0,0
AT1G04207,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04210,317,807,608,2411,1138,956,507,607,652,613,422,697
AT1G04213,1,0,1,0,0,0,0,2,0,0,0,0
AT1G04217,6,22,34,37,31,16,7,26,14,22,12,70
AT1G04220,15,17,29,36,23,24,12,25,14,27,61,25
AT1G04223,0,1,3,8,0,0,0,3,1,3,1,5
AT1G04227,0,1,2,2,0,0,0,1,1,0,0,0
AT1G04230,207,140,185,346,310,290,146,124,106,131,255,179
AT1G04233,10,1,2,2,0,2,3,1,3,2,3,1
AT1G04237,82,3,8,5,15,6,11,0,4,6,15,8
AT1G04240,346,474,387,1105,340,257,171,656,510,646,779,959
AT1G04243,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04247,17,4,5,6,2,2,3,3,2,6,38,3
AT1G04250,220,657,567,1591,847,660,440,160,258,279,570,829
AT1G04253,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04257,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04260,51,224,216,550,342,276,162,291,147,188,153,222
AT1G04263,0,0,0,2,0,0,0,0,2,1,0,4
AT1G04267,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04270,776,2950,3019,7468,5592,4213,2712,1877,2483,2556,1777,4339
AT1G04273,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04277,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04280,674,994,962,1967,904,804,464,1372,720,753,1244,669
AT1G04283,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04287,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04290,17,43,47,52,68,42,38,17,22,31,55,69
AT1G04293,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04295,22,1,5,5,5,0,2,2,2,5,7,1
AT1G04297,2,0,1,2,1,0,0,0,0,0,0,0
AT1G04300,1789,1806,1798,4326,1917,1702,934,3749,1520,1974,2153,940
AT1G04303,0,0,3,2,3,13,1,2,2,1,1,0
AT1G04307,0,0,0,0,0,0,0,0,0,0,1,0
